Codice Comune,Comune,Totale Maschi,Totale Femmine,Maschi+Femmine,Gender Ratio
6001,Acqui Terme,9510,10939,20449,0.8693664868817991
6002,Albera Ligure,181,157,338,1.1528662420382165
6003,Alessandria,44897,49294,94191,0.910800503103826
6004,Alfiano Natta,366,402,768,0.9104477611940298
6005,Alice Bel Colle,412,374,786,1.1016042780748663
6006,Alluvioni Cambiò,481,506,987,0.950592885375494
6007,Altavilla Monferrato,273,240,513,1.1375
6008,Alzano Scrivia,203,182,385,1.1153846153846154
6009,Arquata Scrivia,2975,3190,6165,0.932601880877743
6010,Avolasca,149,145,294,1.0275862068965518
6011,Balzola,696,746,1442,0.9329758713136729
6012,Basaluzzo,1062,1052,2114,1.0095057034220531
6013,Bassignana,865,921,1786,0.9391965255157437
6014,Belforte Monferrato,242,226,468,1.0707964601769913
6015,Bergamasco,379,393,772,0.9643765903307888
6016,Berzano di Tortona,88,78,166,1.1282051282051282
6017,Bistagno,943,986,1929,0.9563894523326572
6018,Borghetto di Borbera,998,1017,2015,0.9813176007866273
6019,Borgoratto Alessandrino,290,325,615,0.8923076923076924
6020,Borgo San Martino,696,740,1436,0.9405405405405406
6021,Bosco Marengo,1272,1263,2535,1.007125890736342
6022,Bosio,628,599,1227,1.0484140233722872
6023,Bozzole,159,170,329,0.9352941176470588
6024,Brignano-Frascata,227,235,462,0.9659574468085106
6025,Cabella Ligure,313,264,577,1.1856060606060606
6026,Camagna Monferrato,273,265,538,1.030188679245283
6027,Camino,403,403,806,1.0
6028,Cantalupo Ligure,266,280,546,0.95
6029,Capriata d'Orba,948,1012,1960,0.9367588932806324
6030,Carbonara Scrivia,539,557,1096,0.9676840215439856
6031,Carentino,177,163,340,1.0858895705521472
6032,Carezzano,212,227,439,0.933920704845815
6033,Carpeneto,492,493,985,0.9979716024340771
6034,Carrega Ligure,48,39,87,1.2307692307692308
6035,Carrosio,253,238,491,1.0630252100840336
6036,Cartosio,395,424,819,0.9316037735849056
6037,Casal Cermelli,627,672,1299,0.9330357142857143
6038,Casaleggio Boiro,215,199,414,1.0804020100502512
6039,Casale Monferrato,16970,19023,35993,0.8920780108289965
6040,Casalnoceto,487,505,992,0.9643564356435643
6041,Casasco,81,56,137,1.4464285714285714
6042,Cassano Spinola,924,951,1875,0.9716088328075709
6043,Cassine,1509,1579,3088,0.9556681443951869
6044,Cassinelle,474,470,944,1.0085106382978724
6045,Castellania,38,47,85,0.8085106382978723
6046,Castellar Guidobono,216,199,415,1.085427135678392
6047,Castellazzo Bormida,2271,2423,4694,0.9372678497730087
6048,Castelletto d'Erro,70,80,150,0.875
6049,Castelletto d'Orba,1063,1030,2093,1.0320388349514562
6050,Castelletto Merli,260,239,499,1.0878661087866108
6051,Castelletto Monferrato,788,782,1570,1.0076726342710998
6052,Castelnuovo Bormida,328,374,702,0.8770053475935828
6053,Castelnuovo Scrivia,2681,2827,5508,0.9483551467987266
6054,Castelspina,205,225,430,0.9111111111111111
6055,Cavatore,157,163,320,0.9631901840490797
6056,Cella Monte,256,267,523,0.9588014981273408
6057,Cereseto,239,233,472,1.0257510729613735
6058,Cerreto Grue,155,163,318,0.950920245398773
6059,Cerrina Monferrato,778,774,1552,1.0051679586563307
6060,Coniolo,230,249,479,0.9236947791164659
6061,Conzano,494,526,1020,0.9391634980988594
6062,Costa Vescovato,196,188,384,1.0425531914893618
6063,Cremolino,543,550,1093,0.9872727272727273
6064,Cuccaro Monferrato,176,178,354,0.9887640449438202
6065,Denice,93,108,201,0.8611111111111112
6066,Dernice,118,119,237,0.9915966386554622
6067,Fabbrica Curone,353,379,732,0.9313984168865436
6068,Felizzano,1231,1228,2459,1.002442996742671
6069,Fraconalto,207,159,366,1.3018867924528301
6070,Francavilla Bisio,251,260,511,0.9653846153846154
6071,Frascaro,222,256,478,0.8671875
6072,Frassinello Monferrato,260,299,559,0.8695652173913043
6073,Frassineto Po,722,742,1464,0.9730458221024259
6074,Fresonara,375,345,720,1.0869565217391304
6075,Frugarolo,991,1011,2002,0.9802176063303659
6076,Fubine,781,902,1683,0.8658536585365854
6077,Gabiano,603,641,1244,0.9407176287051482
6078,Gamalero,403,439,842,0.9179954441913439
6079,Garbagna,364,375,739,0.9706666666666667
6080,Gavazzana,91,74,165,1.2297297297297298
6081,Gavi,2362,2341,4703,1.0089705254164887
6082,Giarole,348,375,723,0.928
6083,Gremiasco,173,176,349,0.9829545454545454
6084,Grognardo,153,146,299,1.047945205479452
6085,Grondona,274,280,554,0.9785714285714285
6086,Guazzora,161,163,324,0.9877300613496932
6087,Isola Sant'Antonio,367,387,754,0.9483204134366925
6088,Lerma,432,451,883,0.9578713968957872
6089,Lu,566,620,1186,0.9129032258064517
6090,Malvicino,42,55,97,0.7636363636363637
6091,Masio,747,739,1486,1.0108254397834913
6092,Melazzo,673,637,1310,1.0565149136577707
6093,Merana,100,85,185,1.1764705882352942
6094,Mirabello Monferrato,683,696,1379,0.9813218390804598
6095,Molare,1088,1192,2280,0.912751677852349
6096,Molino dei Torti,341,360,701,0.9472222222222222
6097,Mombello Monferrato,535,573,1108,0.9336823734729494
6098,Momperone,107,111,218,0.963963963963964
6099,Moncestino,122,122,244,1.0
6100,Mongiardino Ligure,98,83,181,1.180722891566265
6101,Monleale,297,322,619,0.922360248447205
6102,Montacuto,170,140,310,1.2142857142857142
6103,Montaldeo,150,140,290,1.0714285714285714
6104,Montaldo Bormida,352,361,713,0.9750692520775623
6105,Montecastello,158,169,327,0.9349112426035503
6106,Montechiaro d'Acqui,296,293,589,1.0102389078498293
6107,Montegioco,182,165,347,1.103030303030303
6108,Montemarzino,169,187,356,0.9037433155080213
6109,Morano sul Po,749,789,1538,0.9493029150823827
6110,Morbello,215,218,433,0.9862385321100917
6111,Mornese,370,368,738,1.0054347826086956
6112,Morsasco,347,359,706,0.9665738161559888
6113,Murisengo,714,768,1482,0.9296875
6114,Novi Ligure,13689,14998,28687,0.9127216962261635
6115,Occimiano,671,718,1389,0.9345403899721448
6116,Odalengo Grande,255,266,521,0.9586466165413534
6117,Odalengo Piccolo,124,135,259,0.9185185185185185
6118,Olivola,66,65,131,1.0153846153846153
6119,Orsara Bormida,202,201,403,1.0049751243781095
6120,Ottiglio,342,345,687,0.991304347826087
6121,Ovada,5669,6232,11901,0.9096598202824133
6122,Oviglio,624,675,1299,0.9244444444444444
6123,Ozzano Monferrato,717,808,1525,0.8873762376237624
6124,Paderna,113,126,239,0.8968253968253969
6125,Pareto,334,295,629,1.1322033898305084
6126,Parodi Ligure,390,372,762,1.0483870967741935
6127,Pasturana,582,635,1217,0.9165354330708662
6128,Pecetto di Valenza,641,640,1281,1.0015625
6129,Pietra Marazzi,435,478,913,0.9100418410041841
6130,Piovera,415,422,837,0.9834123222748815
6131,Pomaro Monferrato,190,197,387,0.9644670050761421
6132,Pontecurone,1912,1993,3905,0.9593577521324637
6133,Pontestura,700,765,1465,0.9150326797385621
6134,Ponti,317,329,646,0.9635258358662614
6135,Ponzano Monferrato,182,205,387,0.8878048780487805
6136,Ponzone,581,550,1131,1.0563636363636364
6137,Pozzol Groppo,191,180,371,1.0611111111111111
6138,Pozzolo Formigaro,2411,2492,4903,0.9674959871589085
6139,Prasco,278,282,560,0.9858156028368794
6140,Predosa,1044,1063,2107,0.9821260583254939
6141,Quargnento,687,711,1398,0.9662447257383966
6142,Quattordio,831,864,1695,0.9618055555555556
6143,Ricaldone,356,337,693,1.056379821958457
6144,Rivalta Bormida,698,744,1442,0.9381720430107527
6145,Rivarone,184,188,372,0.9787234042553191
6146,Roccaforte Ligure,87,67,154,1.2985074626865671
6147,Rocca Grimalda,783,757,1540,1.0343461030383092
6148,Rocchetta Ligure,111,106,217,1.0471698113207548
6149,Rosignano Monferrato,837,867,1704,0.9653979238754326
6150,Sala Monferrato,193,201,394,0.9601990049751243
6151,Sale,1993,2293,4286,0.869167030091583
6152,San Cristoforo,296,312,608,0.9487179487179487
6153,San Giorgio Monferrato,615,668,1283,0.9206586826347305
6154,San Salvatore Monferrato,2166,2338,4504,0.9264328485885372
6155,San Sebastiano Curone,296,336,632,0.8809523809523809
6156,Sant'Agata Fossili,226,237,463,0.9535864978902954
6157,Sardigliano,222,229,451,0.9694323144104804
6158,Sarezzano,601,599,1200,1.003338898163606
6159,Serralunga di Crea,282,306,588,0.9215686274509803
6160,Serravalle Scrivia,3170,3203,6373,0.9896971589135186
6161,Sezzadio,635,657,1292,0.9665144596651446
6162,Silvano d'Orba,970,1030,2000,0.941747572815534
6163,Solero,813,873,1686,0.9312714776632303
6164,Solonghello,114,125,239,0.912
6165,Spigno Monferrato,584,583,1167,1.0017152658662092
6166,Spineto Scrivia,184,188,372,0.9787234042553191
6167,Stazzano,1162,1220,2382,0.9524590163934427
6168,Strevi,1050,1040,2090,1.0096153846153846
6169,Tagliolo Monferrato,805,761,1566,1.0578186596583443
6170,Tassarolo,317,307,624,1.0325732899022801
6171,Terruggia,410,470,880,0.8723404255319149
6172,Terzo,451,441,892,1.0226757369614512
6173,Ticineto,682,747,1429,0.9129852744310576
6174,Tortona,13077,14457,27534,0.9045445113094003
6175,Treville,136,145,281,0.9379310344827586
6176,Trisobbio,325,354,679,0.9180790960451978
6177,Valenza,9590,10573,20163,0.9070273337747091
6178,Valmacca,500,588,1088,0.8503401360544217
6179,Vignale Monferrato,539,562,1101,0.9590747330960854
6180,Vignole Borbera,1080,1169,2249,0.9238665526090676
6181,Viguzzolo,1558,1648,3206,0.9453883495145631
6182,Villadeati,251,266,517,0.943609022556391
6183,Villalvernia,473,518,991,0.9131274131274131
6184,Villamiroglio,174,163,337,1.0674846625766872
6185,Villanova Monferrato,907,970,1877,0.9350515463917526
6186,Villaromagnano,360,358,718,1.005586592178771
6187,Visone,610,635,1245,0.9606299212598425
6188,Volpedo,606,644,1250,0.9409937888198758
6189,Volpeglino,98,75,173,1.3066666666666666
6190,Voltaggio,387,387,774,1.0
